TITLE	Example_2
713.0000	0.55231
712.0000	0.54891
711.0000	0.54546
710.0000	0.54199
709.0000	0.5386
708.0000	0.53527
707.0000	0.53199
706.0000	0.52872
705.0000	0.52555
704.0000	0.52239
703.0000	0.51914
702.0000	0.51598
701.0000	0.51286
700.0000	0.50976
699.0000	0.50674
698.0000	0.50372
697.0000	0.50076
696.0000	0.49781
695.0000	0.49489
694.0000	0.49207
693.0000	0.48928
692.0000	0.48649
691.0000	0.48379
690.0000	0.48106
689.0000	0.47836
688.0000	0.47562
687.0000	0.47287
686.0000	0.47029
685.0000	0.46761
684.0000	0.46496
683.0000	0.46226
682.0000	0.45971
681.0000	0.45709
680.0000	0.45452
679.0000	0.45197
678.0000	0.44948
677.0000	0.44707
676.0000	0.44469
675.0000	0.44233
674.0000	0.43997
673.0000	0.43762
672.0000	0.43534
671.0000	0.43308
670.0000	0.43077
669.0000	0.42855
668.0000	0.42634
667.0000	0.42415
666.0000	0.42205
665.0000	0.41991
664.0000	0.41777
663.0000	0.41574
662.0000	0.4137
661.0000	0.41167
660.0000	0.40962
659.0000	0.40764
658.0000	0.40565
657.0000	0.40371
656.0000	0.4018
655.0000	0.39996
654.0000	0.39808
653.0000	0.39625
652.0000	0.39449
651.0000	0.39273
650.0000	0.39094
649.0000	0.38921
648.0000	0.38752
647.0000	0.38583
646.0000	0.38422
645.0000	0.3826
644.0000	0.38105
643.0000	0.37954
642.0000	0.37796
641.0000	0.37644
640.0000	0.37497
639.0000	0.37354
638.0000	0.37212
637.0000	0.37071
636.0000	0.36942
635.0000	0.36813
634.0000	0.36678
633.0000	0.36551
632.0000	0.3643
631.0000	0.36305
630.0000	0.36187
629.0000	0.3607
628.0000	0.3596
627.0000	0.35852
626.0000	0.35745
625.0000	0.35638
624.0000	0.35547
623.0000	0.35446
622.0000	0.35352
621.0000	0.35264
620.0000	0.35172
619.0000	0.35091
618.0000	0.35004
617.0000	0.34923
616.0000	0.34844
615.0000	0.34765
614.0000	0.34694
613.0000	0.34628
612.0000	0.34558
611.0000	0.3449
610.0000	0.34421
609.0000	0.34358
608.0000	0.34303
607.0000	0.34255
606.0000	0.34202
605.0000	0.34148
604.0000	0.34102
603.0000	0.34065
602.0000	0.34013
601.0000	0.33974
600.0000	0.33939
599.0000	0.33914
598.0000	0.33879
597.0000	0.33855
596.0000	0.33834
595.0000	0.33811
594.0000	0.33789
593.0000	0.33777
592.0000	0.33765
591.0000	0.33759
590.0000	0.33751
589.0000	0.33741
588.0000	0.3374
587.0000	0.33738
586.0000	0.33741
585.0000	0.3375
584.0000	0.33756
583.0000	0.33758
582.0000	0.33769
581.0000	0.3379
580.0000	0.33801
579.0000	0.33821
578.0000	0.33834
577.0000	0.33848
576.0000	0.33863
575.0000	0.33887
574.0000	0.33905
573.0000	0.33918
572.0000	0.33933
571.0000	0.33957
570.0000	0.33971
569.0000	0.33988
568.0000	0.34004
567.0000	0.34017
566.0000	0.34034
565.0000	0.3404
564.0000	0.34053
563.0000	0.34056
562.0000	0.34065
561.0000	0.34074
560.0000	0.3407
559.0000	0.34071
558.0000	0.3407
557.0000	0.34068
556.0000	0.3406
555.0000	0.34049
554.0000	0.34037
553.0000	0.34023
552.0000	0.34006
551.0000	0.33987
550.0000	0.33958
549.0000	0.33932
548.0000	0.33907
547.0000	0.33876
546.0000	0.33844
545.0000	0.33811
544.0000	0.33769
543.0000	0.33727
542.0000	0.33677
541.0000	0.33628
540.0000	0.33583
539.0000	0.33532
538.0000	0.33476
537.0000	0.33417
536.0000	0.33359
535.0000	0.33298
534.0000	0.33229
533.0000	0.33162
532.0000	0.33088
531.0000	0.33017
530.0000	0.32939
529.0000	0.32861
528.0000	0.32784
527.0000	0.32703
526.0000	0.32619
525.0000	0.32534
524.0000	0.32446
523.0000	0.32353
522.0000	0.32269
521.0000	0.32178
520.0000	0.32075
519.0000	0.31961
518.0000	0.31877
517.0000	0.31791
516.0000	0.31711
515.0000	0.31628
514.0000	0.31543
513.0000	0.31458
512.0000	0.31376
511.0000	0.31291
510.0000	0.31204
509.0000	0.31123
508.0000	0.3104
507.0000	0.30954
506.0000	0.3087
505.0000	0.30783
504.0000	0.30697
503.0000	0.30605
502.0000	0.30506
501.0000	0.30408
500.0000	0.30309
499.0000	0.30208
498.0000	0.30104
497.0000	0.29992
496.0000	0.29876
495.0000	0.29751
494.0000	0.29627
493.0000	0.29503
492.0000	0.29374
491.0000	0.29241
490.0000	0.29106
489.0000	0.28976
488.0000	0.28848
487.0000	0.28717
486.0000	0.28591
485.0000	0.28469
484.0000	0.28354
483.0000	0.28246
482.0000	0.28135
481.0000	0.28031
480.0000	0.27939
479.0000	0.27851
478.0000	0.27769
477.0000	0.27699
476.0000	0.27634
475.0000	0.27573
474.0000	0.27525
473.0000	0.27486
472.0000	0.27453
471.0000	0.27425
470.0000	0.27405
469.0000	0.27381
468.0000	0.27366
467.0000	0.27358
466.0000	0.27356
465.0000	0.27356
464.0000	0.27365
463.0000	0.27374
462.0000	0.27391
461.0000	0.27416
460.0000	0.27449
459.0000	0.27496
458.0000	0.2755
457.0000	0.27629
456.0000	0.27721
455.0000	0.27836
454.0000	0.27974
453.0000	0.2814
452.0000	0.28344
451.0000	0.28597
450.0000	0.28886
449.0000	0.29231
448.0000	0.2963
447.0000	0.30093
446.0000	0.30624
445.0000	0.31227
444.0000	0.31898
443.0000	0.32647
442.0000	0.33488
441.0000	0.34414
440.0000	0.35425
439.0000	0.36527
438.0000	0.37722
437.0000	0.39009
436.0000	0.40383
435.0000	0.41855
434.0000	0.43412
433.0000	0.45062
432.0000	0.46801
431.0000	0.48604
430.0000	0.50473
429.0000	0.52403
428.0000	0.54387
427.0000	0.56405
426.0000	0.58446
425.0000	0.60518
424.0000	0.62619
423.0000	0.64741
422.0000	0.6688
421.0000	0.68995
420.0000	0.70946
419.0000	0.73183
418.0000	0.75212
417.0000	0.77153
416.0000	0.79019
415.0000	0.80821
414.0000	0.82535
413.0000	0.84177
412.0000	0.85714
411.0000	0.87158
410.0000	0.88511
409.0000	0.89742
408.0000	0.90864
407.0000	0.91871
406.0000	0.92745
405.0000	0.93504
404.0000	0.94156
403.0000	0.94693
402.0000	0.95127
401.0000	0.95464
400.0000	0.95665
399.0000	0.95733
398.0000	0.95724
397.0000	0.95627
396.0000	0.95454
395.0000	0.95196
394.0000	0.94868
393.0000	0.94487
392.0000	0.94059
391.0000	0.93574
390.0000	0.93057
389.0000	0.92535
388.0000	0.9197
387.0000	0.91395
386.0000	0.90803
385.0000	0.90214
384.0000	0.89597
383.0000	0.88977
382.0000	0.88375
381.0000	0.87791
380.0000	0.8721
379.0000	0.86645
378.0000	0.86145
377.0000	0.85709
376.0000	0.85333
375.0000	0.85041
374.0000	0.84846
373.0000	0.84746
372.0000	0.84743
371.0000	0.84841
370.0000	0.84971
369.0000	0.85236
368.0000	0.85623
367.0000	0.8606
366.0000	0.86548
365.0000	0.8711
364.0000	0.87703
363.0000	0.88327
362.0000	0.88992
361.0000	0.8967
360.0000	0.90378
359.0000	0.91132
358.0000	0.9191
357.0000	0.92685
356.0000	0.93486
355.0000	0.94299
354.0000	0.95106
353.0000	0.95956
352.0000	0.96816
351.0000	0.97645
350.0000	0.98498
349.0000	0.99336
348.0000	1.00151
347.0000	1.00963
346.0000	1.01757
345.0000	1.02537
344.0000	1.03309
343.0000	1.04123
342.0000	1.04992
341.0000	1.05895
340.0000	1.06892
339.0000	1.08102
338.0000	1.09386
337.0000	1.10932
336.0000	1.12698
335.0000	1.14721
334.0000	1.17125
333.0000	1.19964
332.0000	1.2317
331.0000	1.26947
330.0000	1.31265
329.0000	1.36222
328.0000	1.41849
327.0000	1.48203
326.0000	1.55382
325.0000	1.63524
324.0000	1.72663
323.0000	1.82796
322.0000	1.94082
321.0000	2.06578
320.0000	2.20128
319.0000	2.34924
318.0000	2.50703
317.0000	2.67514
316.0000	2.85072
315.0000	3.02859
314.0000	3.20739
313.0000	3.37523
312.0000	3.53004
311.0000	3.65978
310.0000	3.77022
309.0000	3.85918
308.0000	3.91604
307.0000	3.96097
306.0000	4.00027
305.0000	4.03426
304.0000	4.06488
303.0000	4.06484
302.0000	4.07777
301.0000	4.0877
300.0000	4.09792
299.0000	4.11203
298.0000	4.11535
297.0000	4.11177
296.0000	4.12625
295.0000	4.13004
294.0000	4.13737
293.0000	4.13742
292.0000	4.14857
291.0000	4.1602
290.0000	4.15249
289.0000	4.1643
288.0000	4.17229
287.0000	4.15268
286.0000	4.1682
285.0000	4.17627
284.0000	4.18041
283.0000	4.17634
282.0000	4.16011
281.0000	4.14064
280.0000	4.14101
279.0000	4.11538
278.0000	4.09782
277.0000	4.07454
276.0000	4.03422
275.0000	4.00586
274.0000	3.97636
273.0000	3.9344
272.0000	3.90711
271.0000	3.87133
270.0000	3.85915
269.0000	3.87309
268.0000	3.90257
267.0000	3.961
266.0000	4.02521
265.0000	4.10802
264.0000	4.18422
263.0000	4.219
262.0000	4.23743
261.0000	4.26178
260.0000	4.25692
259.0000	4.26198
258.0000	4.25704
257.0000	4.2821
256.0000	4.27236
255.0000	4.27247
254.0000	4.27248
253.0000	4.26748
252.0000	4.28831
251.0000	4.29335
250.0000	4.28855
249.0000	4.27809
248.0000	4.27818
247.0000	4.27315
246.0000	4.28847
245.0000	4.2993
244.0000	4.26804
243.0000	4.26807
242.0000	4.27845
241.0000	4.27347
240.0000	4.27873
239.0000	4.26867
238.0000	4.27394
237.0000	4.27427
236.0000	4.26926
235.0000	4.27449
234.0000	4.29046
233.0000	4.26992
232.0000	4.28562
231.0000	4.26534
230.0000	4.25575
229.0000	4.2561
228.0000	4.25154
227.0000	4.26175
226.0000	4.25248
225.0000	4.24346
224.0000	4.2442
223.0000	4.22654
222.0000	4.23195
221.0000	4.23302
220.0000	4.20309
219.0000	4.19982
218.0000	4.17991
217.0000	4.16091
216.0000	4.14651
215.0000	4.14293
214.0000	4.11508
213.0000	4.06368
212.0000	4.04935
211.0000	4.02123
210.0000	3.98483
209.0000	3.9241
208.0000	3.86309
207.0000	3.80198
206.0000	3.71929
205.0000	3.63714
204.0000	3.50406
203.0000	3.349
202.0000	3.17765
201.0000	2.94692
200.0000	2.67037
199.0000	2.37339
198.0000	2.05077
197.0000	1.76986
196.0000	1.5832
195.0000	1.49042
194.0000	1.4495
193.0000	1.4378
192.0000	1.42601
191.0000	1.41272
190.0000	1.39743
